word,selected,annotated_semantics,projected_semantics,freq_sketch,f-pref_itwac,f-pref_repubblica,f-pref_wikiconll,f-adv_itwac,f-adv_repubblica,f-adv_wikiconll
vendita,True,-,Event#-,15522,435,11,8,-,-,-
produzione,True,-,-,12751,617,54,189,-,-,-
laurea,True,-,-,9365,0,75,54,-,-,-
rock,True,-,-,4879,537,1,102,-,-,-
moderno,True,?,?,4517,0,0,0,-,-,-
punk,True,Cultural or political movement,Qualification or Set of Circumstances#Cultural or political movement,4507,0,20,95,-,-,-
apocalittico,True,?,?,3453,0,0,1,-,-,-
sisma,True,-,-,3273,56,4,5,-,-,-
diploma,True,?,-,3095,832,14,6,-,-,-
terremoto,True,-,-,3050,0,173,10,-,-,-
dottorato,True,-,-,2690,998,5,20,-,-,-
menopausa,True,-,-,2664,227,14,4,-,-,-
parto,True,-,-,2651,56,9,9,-,-,-
marketing,True,-,-,2472,40,1,5,-,-,-
modernità,True,Cultural or political movement,Cultural or political movement,2331,260,28,7,-,-,-
trattamento,True,Process,Process,2202,52,0,10,-,-,-
partita,True,-,Event#-,2178,43,10,10,-,-,-
intervento,True,-,-,1997,60,5,5,-,-,-
verità,True,?,-,1937,0,0,0,-,-,-
allenamento,True,?,?,1737,2,0,0,-,-,-
raccolta,True,-,-,1581,35,3,0,-,-,-
gara,True,-,-,1553,30,3,7,-,-,-
apocalittica,True,?,?,1524,0,1,0,-,-,-
emergenza,True,-,Qualification or Set of Circumstances#-,1520,76,1,9,-,-,-
trapianto,True,-,-,1484,74,2,3,-,-,-
operatori,True,?,?,1454,78,11,9,-,-,-
natale,True,?,?,1360,7,0,0,-,-,-
Covid,True,?,?,1315,0,0,0,-,-,-
sovietica,True,?,?,1298,0,6,0,-,-,-
consumo,True,-,-,1277,92,0,1,-,-,-
hardcore,True,?,Cultural or political movement,1272,10,0,73,-,-,-
crisi,True,?,-,1133,16,7,2,-,-,-
umano,True,?,?,959,0,0,0,-,-,-
comunisti,True,Cultural or political movement,Cultural or political movement#-,955,139,120,9,-,-,-
concilio,True,-,-,920,60,4,4,-,-,-
workout,True,?,?,883,0,0,0,-,-,-
guerra,True,-,Qualification or Set of Circumstances#-,871,108,18,13,-,-,-
Brexit,True,?,?,859,0,0,0,-,-,-
processing,True,?,?,844,35,0,8,-,-,-
elaborazione,True,Process,Process,832,15,1,8,-,-,-
conflitto,True,-,-,819,93,0,7,-,-,-
fascista,True,Cultural or political movement,Cultural or political movement,797,142,18,5,-,-,-
grunge,True,Cultural or political movement,Cultural or political movement,706,22,1,0,-,-,-
lancio,True,?,?,704,2,0,3,-,-,-
evento,True,-,Qualification or Set of Circumstances#-,665,17,1,5,-,-,-
acuzie,True,-,-,662,90,0,0,-,-,-
riforma,True,-,Entity#-,641,41,5,3,-,-,-
esposizione,True,-,-,640,78,0,22,-,-,-
modernismo,True,Cultural or political movement,Cultural or political movement,637,84,19,7,-,-,-
