word,selected,annotated_semantics,projected_semantics,freq_sketch,f-pref_itwac,f-pref_repubblica,f-pref_wikiconll,f-adv_itwac,f-adv_repubblica,f-adv_wikiconll
crisi,True,?,-,6404,34,36,4,-,-,-
produzione,True,?,-,4563,335,22,259,-,-,-
gara,True,?,-,3881,105,11,10,-,-,-
iscrizione,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,3510,352,5,0,-,-,-
partita,True,?,Event#-,3282,155,19,18,-,-,-
campionato,True,?,-,2878,135,41,44,-,-,-
ordine,True,Event,Event,2730,17,0,10,-,-,-
impianto,True,?,?,1956,666,7,4,-,-,-
trattamento,True,?,Process,1947,92,0,2,-,-,-
parto,True,?,-,1690,15,3,2,-,-,-
ordini,True,Event,Event,1688,13,0,4,-,-,-
vendita,True,Event,Event#-,1669,40,8,6,-,-,-
allenamento,True,?,?,1615,6,0,0,-,-,-
iscrizioni,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,1585,170,11,1,-,-,-
morte,True,?,Qualification or Set of Circumstances,1472,57,3,11,-,-,-
selezione,True,Event,Process,1440,175,18,6,-,-,-
registrazione,True,?,?,1397,68,5,2,-,-,-
requisito,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,1314,154,19,5,-,-,-
ruolo,True,?,?,1312,561,3,0,-,-,-
adolescenti,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,1251,63,3,6,-,-,-
eclampsia,True,?,?,1143,70,0,1,-,-,-
requisiti,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,1138,181,11,5,-,-,-
serie,True,?,?,1116,40,5,78,-,-,-
condizione,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,1111,216,65,5,-,-,-
workout,True,?,?,1111,0,0,0,-,-,-
partenza,True,?,?,1090,42,2,1,-,-,-
menopausa,True,?,-,1083,29,0,0,-,-,-
apertura,True,?,?,1035,128,14,4,-,-,-
scuola,True,?,Entity#Place or function#-,1018,98,2,2,-,-,-
adesione,True,Process,Process,1014,190,6,5,-,-,-
shampoo,True,?,?,992,0,0,0,-,-,-
stagione,True,?,?,980,16,2,20,-,-,-
affido,True,?,?,972,1,0,0,-,-,-
giudizio,True,?,?,957,109,8,1,-,-,-
giudizi,True,?,?,924,105,7,1,-,-,-
Covid,True,?,?,907,0,0,0,-,-,-
dissesto,True,?,?,846,6,0,0,-,-,-
riforma,True,?,Entity#-,748,74,11,2,-,-,-
termine,True,?,?,743,36,0,2,-,-,-
condizioni,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,733,126,51,3,-,-,-
esercizio,True,?,?,732,18,2,14,-,-,-
acquisto,True,?,Qualification or Set of Circumstances#-,698,9,3,0,-,-,-
emergenza,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances#-,680,45,1,8,-,-,-
intervento,True,?,-,664,13,1,4,-,-,-
lancio,True,?,?,663,19,3,4,-,-,-
accordo,True,Process,Process,645,67,71,2,-,-,-
ricovero,True,?,-,635,12,0,1,-,-,-
esame,True,Event,Event#-,634,771,13,0,-,-,-
natale,True,?,?,633,5,2,0,-,-,-
diabete,True,?,?,624,0,0,0,-,-,-
adolescenza,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,612,43,2,1,-,-,-
autorizzazione,True,?,-,608,3,0,0,-,-,-
intesa,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,606,84,29,0,-,-,-
confezionati,True,?,?,558,0,0,0,-,-,-
evento,True,?,Qualification or Set of Circumstances#-,542,6,0,0,-,-,-
allarme,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,532,83,37,1,-,-,-
accademici,True,?,?,505,0,0,0,-,-,-
contrattuale,True,?,?,488,0,0,0,-,-,-
stampa,True,?,?,488,26,2,2,-,-,-
fattibilità,True,?,?,480,71,2,0,-,-,-
operatori,True,?,?,475,20,1,2,-,-,-
amplificatore,True,?,?,469,4,0,2,-,-,-
esposizione,True,?,-,457,17,0,5,-,-,-
pensionamento,True,?,?,452,53,46,4,-,-,-
moderno,True,?,?,451,0,1,0,-,-,-
riscaldamento,True,?,?,450,17,2,7,-,-,-
