word,selected,annotated_semantics,projected_semantics,freq_sketch,f-pref_itwac,f-pref_repubblica,f-pref_wikiconll,f-adv_itwac,f-adv_repubblica,f-adv_wikiconll
abilitata,True,?,?,21,0,0,0,-,-,-
abilitati,True,?,?,79,0,0,0,-,-,-
abilitato,True,?,?,23,0,0,0,-,-,-
acquirente,True,?,?,14,1,0,0,-,-,-
acquirenti,True,?,?,17,2,1,0,-,-,-
acquisti,True,?,?,100,9,2,1,-,-,-
acquisto,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances#-,782,66,31,23,-,-,-
adulto,True,?,?,15,0,0,0,-,-,-
advaita,True,?,?,20,0,0,0,-,-,-
affiliata,True,?,?,14,0,0,0,-,-,-
affiliati,True,?,?,22,0,1,0,-,-,-
affiliato,True,?,?,18,1,1,0,-,-,-
agente,True,?,Job or Career,15,1,0,0,-,-,-
agricoltori,True,?,?,25,2,0,1,-,-,-
agricoltura,True,?,?,17,0,0,0,-,-,-
alleati,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,26,1,5,1,-,-,-
allenatore,True,Job or Career,Job or Career,194,15,4,15,-,-,-
ambasciatore,True,Job or Career,Job or Career,23,6,25,0,-,-,-
amici,True,?,Qualification or Set of Circumstances,15,0,0,0,-,-,-
amico,True,?,Qualification or Set of Circumstances,15,0,0,1,-,-,-
amministratore,True,Role,Role,25,7,33,0,-,-,-
amministratori,True,?,Role,18,2,0,0,-,-,-
amministrazione,True,?,?,22,2,0,0,-,-,-
anarchismo,True,?,?,16,0,0,0,-,-,-
angiogenesi,True,?,?,78,4,0,1,-,-,-
antifascismo,True,?,?,17,0,0,0,-,-,-
antigeni,True,?,?,17,4,0,0,-,-,-
apostolici,True,?,?,190,0,0,1,-,-,-
aramaico,True,?,?,25,1,0,3,-,-,-
arbitri,True,?,?,20,1,0,0,-,-,-
architetto,True,?,?,22,3,1,0,-,-,-
arcivescovo,True,?,?,40,9,0,0,-,-,-
aristocratici,True,?,?,39,0,0,0,-,-,-
aristocratico,True,?,?,29,0,0,0,-,-,-
aristotelismo,True,Cultural or political movement,Cultural or political movement,19,14,0,0,-,-,-
artisti,True,?,?,15,2,0,0,-,-,-
assessora,True,?,?,23,1,0,0,-,-,-
assessore,True,Role,Role,382,46,20,1,-,-,-
Assessore,True,?,?,39,3,0,0,-,-,-
assessori,True,?,Role,40,4,0,0,-,-,-
assira,True,?,?,35,0,0,0,-,-,-
assiri,True,?,?,32,1,0,1,-,-,-
assiro,True,?,?,105,9,0,2,-,-,-
associati,True,?,?,16,3,0,0,-,-,-
associazione,True,?,?,33,4,1,0,-,-,-
assolutismo,True,?,?,17,5,0,0,-,-,-
assunta,True,?,?,57,0,2,1,-,-,-
assunte,True,?,?,20,0,0,0,-,-,-
assunti,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,1484,348,51,0,-,-,-
assunto,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,504,101,7,4,-,-,-
atlantismo,True,?,?,19,2,0,0,-,-,-
attori,True,?,Job or Career,18,3,1,0,-,-,-
attrice,True,?,Job or Career,19,2,2,3,-,-,-
autori,True,?,?,20,1,1,0,-,-,-
autoritarismo,True,Cultural or political movement,Cultural or political movement,44,6,5,0,-,-,-
avanguardia,True,Cultural or political movement,Cultural or political movement,223,51,43,7,-,-,-
avanguardie,True,Cultural or political movement,Cultural or political movement,213,32,10,4,-,-,-
avvocati,True,?,?,27,1,0,0,-,-,-
avvocato,True,?,Job or Career,23,1,1,0,-,-,-
aziende,True,?,Place or function,22,5,0,0,-,-,-
azzurro,True,?,?,17,0,2,0,-,-,-
babilonese,True,?,?,150,1,1,0,-,-,-
babilonesi,True,?,?,37,0,0,1,-,-,-
banca,True,?,?,28,0,0,0,-,-,-
banche,True,?,?,15,0,0,0,-,-,-
band,True,?,Qualification or Set of Circumstances,14,1,0,2,-,-,-
barocco,True,?,?,284,0,2,0,-,-,-
battezzata,True,?,?,20,0,0,0,-,-,-
battezzati,True,?,?,77,8,0,1,-,-,-
battezzato,True,?,?,44,5,0,0,-,-,-
beat''em,True,?,?,15,0,0,0,-,-,-
bistrot,True,?,?,16,1,0,0,-,-,-
bizantini,True,?,?,15,0,0,0,-,-,-
bizantino,True,?,?,100,0,0,0,-,-,-
blog,True,?,?,25,3,0,0,-,-,-
blogger,True,?,?,51,2,0,0,-,-,-
bop,True,?,?,23,0,2,0,-,-,-
borbonici,True,?,?,87,0,3,0,-,-,-
borghesi,True,?,?,29,2,2,0,-,-,-
borghesia,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,43,11,4,0,-,-,-
brigatisti,True,?,Cultural or political movement,40,6,0,2,-,-,-
burlesque,True,?,?,19,0,0,1,-,-,-
cacciatori,True,?,?,14,4,0,0,-,-,-
campione,True,Rank,Rank,373,31,19,18,-,-,-
Campione,True,?,?,38,2,0,1,-,-,-
campionessa,True,?,Rank,63,11,2,0,-,-,-
campionesse,True,?,?,41,4,0,0,-,-,-
campioni,True,Rank,Rank,131,11,14,4,-,-,-
cancelliere,True,Role,Job or Career#Role,16,2,7,1,-,-,-
candidata,True,?,?,14,3,0,0,-,-,-
candidati,True,?,-,15,2,1,0,-,-,-
candidato,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,71,6,6,0,-,-,-
capitale,True,?,Qualification or Set of Circumstances,16,2,2,0,-,-,-
capitalismo,True,Cultural or political movement,Cultural or political movement,181,25,19,1,-,-,-
capitalista,True,?,?,54,1,3,0,-,-,-
capitano,True,Role,Role,73,6,2,6,-,-,-
capo,True,Role,Role,25,8,17,0,-,-,-
capogruppo,True,?,Role,34,6,3,0,-,-,-
capolista,True,?,?,41,0,0,0,-,-,-
cardinale,True,Job or Career,Job or Career,106,3,10,0,-,-,-
cardinali,True,?,?,25,2,1,0,-,-,-
cartalismo,True,?,?,16,0,0,0,-,-,-
catecumenali,True,?,?,53,2,1,1,-,-,-
catecumeni,True,?,?,17,0,2,0,-,-,-
cattolicesimo,True,?,?,18,2,0,0,-,-,-
cattolici,True,?,-,28,3,0,0,-,-,-
cavaliere,True,?,Job or Career,26,5,3,0,-,-,-
centralismo,True,Cultural or political movement,Cultural or political movement,135,56,6,0,-,-,-
centrismo,True,Cultural or political movement,Cultural or political movement,30,10,17,0,-,-,-
centrista,True,?,?,98,0,2,0,-,-,-
centristi,True,Cultural or political movement,Cultural or political movement,32,0,4,1,-,-,-
Chiesa,True,?,Place or function,179,0,0,0,-,-,-
chiesa,True,?,Place or function,117,0,0,0,-,-,-
cinquantenne,True,?,?,18,0,0,0,-,-,-
cinquecentesco,True,?,?,33,0,0,0,-,-,-
cittadini,True,?,Qualification or Set of Circumstances,58,4,0,0,-,-,-
cittadino,True,?,Qualification or Set of Circumstances,26,2,2,0,-,-,-
classe,True,?,?,15,0,0,0,-,-,-
classici,True,?,?,174,0,0,0,-,-,-
classicismo,True,Cultural or political movement,Cultural or political movement,198,18,13,12,-,-,-
classico,True,Cultural or political movement,Cultural or political movement#-,772,0,7,0,-,-,-
clericalismo,True,?,?,22,9,1,0,-,-,-
coach,True,?,Role,57,0,0,4,-,-,-
collaboratore,True,?,Role,18,2,1,0,-,-,-
collagene,True,?,?,24,0,0,0,-,-,-
