abitanti	condizione
agente	mestiere
agenti	mestiere
albergo	destinazione/luogo/uso
alleati	condizione
alleato	condizione
allenatore	mestiere
allieva	condizione
allievi	condizione
allievo	condizione
alunna	condizione
alunni	condizione
alunno	condizione
amante	parentela
amanti	parentela
ambasciata	destinazione/luogo/uso
ambasciatore	mestiere
ambasciatori	mestiere
ambasciatrice	mestiere
amica	condizione
amici	condizione
amico	condizione
amministratore	ruolo
amministratori	ruolo
ammiraglio	mestiere
angelo	condizione
arbitro	mestiere
area	entità
assessore	ruolo
assessori	ruolo
assistente	ruolo
Associazione	condizione
astronauta	mestiere
atleta	mestiere
atleti	mestiere
attore	mestiere
attrice	mestiere
avversari	condizione
avversario	condizione
avvocato	mestiere
azioni	entità
azionista	condizione
ballerina	mestiere
bambini	condizione
banchiere	mestiere
banchieri	mestiere
band	condizione
base	destinazione/luogo/uso
bassista	mestiere
batterista	mestiere
Beatle	condizione
Birmania	denominazione
birreria	destinazione/luogo/uso
blocco	condizione
boss	ruolo
braccio	ruolo
brigatisti	movimento culturale/politico
burocrati	condizione
calciatore	mestiere
calciatori	mestiere
cameriera	mestiere
cameriere	mestiere
campi	destinazione/luogo/uso
campione	grado
campioni	grado
campo	entità
cancelliere	mestiere
candidato	condizione
cantante	mestiere
capi	ruolo
capitale	condizione
capitano	ruolo
capo	ruolo
capogabinetto	ruolo
capogruppo	ruolo
cappella	destinazione/luogo/uso
carabiniere	mestiere
carcerati	condizione
carcerato	condizione
carcere	destinazione/luogo/uso
carnitiani	movimento culturale/politico
Casa	destinazione/luogo/uso
casa	destinazione/luogo/uso
caserma	destinazione/luogo/uso
cava	destinazione/luogo/uso
Cavaliere	ruolo
cavaliere	mestiere
chiesa	destinazione/luogo/uso
Chiesa	destinazione/luogo/uso
chiostro	destinazione/luogo/uso
chitarrista	mestiere
ciclista	mestiere
cinema	destinazione/luogo/uso
circoscrizione	condizione
cittadini	condizione
cognato	parentela
collaboratore	ruolo
collaboratori	ruolo
collaboratrice	ruolo
collega	ruolo
colleghi	ruolo
collegio	destinazione/luogo/uso
colonia	destinazione/luogo/uso
colonie	destinazione/luogo/uso
colonnello	mestiere
comandante	mestiere
combattente	mestiere
combattenti	mestiere
commando	condizione
commilitone	ruolo
commilitoni	ruolo
commissario	mestiere
compagna	parentela
compagne	ruolo
compagni	ruolo
compagno	ruolo
componente	condizione
componenti	condizione
comune	condizione
comuni	condizione
comunismo	movimento culturale/politico
comunista	movimento culturale/politico
comunisti	movimento culturale/politico
coniuge	parentela
coniugi	parentela
consigliere	ruolo
consiglieri	ruolo
console	ruolo
consoli	ruolo
consorte	parentela
consulente	mestiere
consulenti	mestiere
contestatori	condizione
convento	destinazione/luogo/uso
Convento	destinazione/luogo/uso
Convenzione	-
coppia	condizione
corrispondente	mestiere
corsisti	condizione
Cotonificio	destinazione/luogo/uso
datore	ruolo
dc	movimento culturale/politico
DC	movimento culturale/politico
DDR	denominazione
delfino	ruolo
democristiani	movimento culturale/politico
deportati	condizione
deputati	ruolo
deputato	ruolo
detenuti	condizione
detenuto	condizione
difensore	ruolo
dipendente	condizione
dipendenti	condizione
diplomatico	mestiere
direttore	ruolo
direttori	ruolo
dirigente	ruolo
dirigenti	ruolo
discepoli	condizione
dissidente	condizione
distretti	condizione
dittatore	ruolo
enti	condizione
esercito	condizione
esponente	ruolo
fabbrica	destinazione/luogo/uso
fascista	movimento culturale/politico
fascisti	movimento culturale/politico
fedeli	condizione
festività	condizione
fiamma	condizione
fidanzata	parentela
fidanzato	parentela
filanda	destinazione/luogo/uso
finanziere	mestiere
fortezza	destinazione/luogo/uso
forzati	condizione
fotomodella	mestiere
franchisti	movimento culturale/politico
frazione	condizione
frontman	ruolo
FS	denominazione
fumatore	condizione
fumatori	condizione
funzionari	mestiere
funzionario	mestiere
galeotto	condizione
garibaldino	movimento culturale/politico
gay	condizione
generale	mestiere
generali	mestiere
Germania	denominazione
giocatore	mestiere
giocatori	mestiere
giocatrice	condizione
giornalista	mestiere
giovane	condizione
giovani	condizione
giudice	mestiere
giudici	mestiere
governatore	ruolo
gruppo	condizione
guardia	mestiere
guardie	mestiere
guerriglieri	mestiere
hostess	mestiere
imperatore	ruolo
imperatrice	ruolo
Imperatrice	ruolo
impero	condizione
Impero	condizione
impiegata	mestiere
impiegato	mestiere
infermiere	mestiere
ingegnere	mestiere
insegnante	mestiere
internati	condizione
Istituto	destinazione/luogo/uso
istituto	destinazione/luogo/uso
Iugoslavia	denominazione
jugoslavi	denominazione
Jugoslavia	denominazione
jugoslavia	denominazione
ladro	mestiere
lavoratori	condizione
leader	ruolo
legge	documento
leghista	movimento culturale/politico
luogotenente	mestiere
maestro	mestiere
Maestro	mestiere
maggiore	ruolo
Magistero	denominazione
magistrato	mestiere
manager	ruolo
maresciallo	mestiere
marine	mestiere
mariti	parentela
marito	parentela
Mastino	-
Mattatoio	destinazione/luogo/uso
membri	ruolo
membro	ruolo
mentore	ruolo
militante	movimento culturale/politico
militanti	movimento culturale/politico
militare	mestiere
militari	mestiere
minatore	mestiere
minatori	mestiere
ministero	denominazione
ministri	ruolo
ministro	ruolo
Ministro	ruolo
modella	mestiere
mogli	parentela
moglie	parentela
monastero	destinazione/luogo/uso
Monastero	destinazione/luogo/uso
mondo	entità
monopoli	condizione
monopolio	condizione
monopolista	grado
monopolisti	grado
nazista	movimento culturale/politico
nazisti	movimento culturale/politico
negoziatore	ruolo
nemici	condizione
nemico	condizione
noleggio	destinazione/luogo/uso
numero	grado
onorevole	ruolo
operai	mestiere
operaio	mestiere
oratorio	destinazione/luogo/uso
orfanotrofi	destinazione/luogo/uso
organo	condizione
ospedale	destinazione/luogo/uso
ostaggi	condizione
ostaggio	condizione
padrino	ruolo
padrone	ruolo
paese	condizione
paesi	condizione
palazzo	destinazione/luogo/uso
Palazzo	destinazione/luogo/uso
parà	mestiere
parlamentare	ruolo
parlamentari	ruolo
partigiani	movimento culturale/politico
partigiano	movimento culturale/politico
partito	condizione
partner	ruolo
paziente	ruolo
Pescheria	destinazione/luogo/uso
pescheria	destinazione/luogo/uso
pilota	mestiere
piloti	mestiere
pirata	mestiere
PLI	denominazione
pm	mestiere
poliziotti	mestiere
poliziotto	mestiere
pontefice	ruolo
portavoce	ruolo
portiere	mestiere
possedimenti	condizione
poveri	condizione
prefetto	ruolo
