	adulti		non-ancora-adulti	1
	adulto		non-ancora-adulto	1
	attore		non-ancora-attore	1
	bambino		non-ancora-bambino	1
	baronetti		non-ancora-baronetti	1
	candidato		non-ancora-candidato	4
	città		non-ancora-città	1
	clienti		non-ancora-clienti	1
	consumatori		non-ancora-consumatori	1
	detenuti		non-ancora-detenuti	1
	diabetici		non-ancora-diabetici	1
	donna		non-ancora-donna	1
	donne		non-ancora-donne	1
	estate		non-ancora-estate	1
	ex		non-ancora-ex	2
	fatti		non-ancora-fatti	1
	fatto		non-ancora-fatto	1
	giornalista		non-ancora-giornalista	1
	greco levantino		non-ancora-greco-levantino	1
	italiani		non-ancora-italiani	1
	lettore		non-ancora-lettore	1
	libro		non-ancora-libro	1
	luoghi		non-ancora-luoghi	1
	madre		non-ancora-madre	1
	maggiorenne		non-ancora-maggiorenne	1
	mamma		non-ancora-mamma	2
	manifesto		non-ancora-manifesto	1
	metanisti		non-ancora-metanisti	1
	modellisti		non-ancora-modellisti	1
	moglie		non-ancora-moglie	1
	morta		non-ancora-morta	2
	morte		non-ancora-morte	2
	morti		non-ancora-morti	1
	morto		non-ancora-morto	1
	notizia		non-ancora-notizia	1
	pensieri		non-ancora-pensieri	1
	pensionato		non-ancora-pensionato	1
	pericolo		non-ancora-pericolo	1
	persona		non-ancora-persona	2
	personaggi		non-ancora-personaggi	1
	persone		non-ancora-persone	1
	possibile		non-ancora-possibile	1
	post comunista		non-ancora-post-comunista	1
	comunista		non-ancora-post-comunista	1
	premier		non-ancora-premier	1
	Presidente		non-ancora-Presidente	1
	Professore		non-ancora-Professore	1
	senso		non-ancora-senso	2
	sindaco		non-ancora-sindaco	1
	spesa		non-ancora-spesa	1
	Stato		non-ancora-Stato	1
	trentenni		non-ancora-trentenni	1
	udito		non-ancora-udito	2
	umani		non-ancora-umani	2
	uomo		non-ancora-uomo	4
	vecchi		non-ancora-vecchi	2
	vita		non-ancora-vita	1
	WM4		non-ancora-WM4	1
	WM5		non-ancora-WM5	1
	Wu		non-ancora-Wu	1
	zio		non-ancora-zio	1
