allievi		già-allievi	1
assicurati		già-assicurati	1
assunti		già-assunti	1
autore		già-autore	1
bambino		già-bambino	1
caduti		già-caduti	35
cavaliere		già-cavaliere	1
Cécile		già-Cécile	1
classici		già-classici	2
cliente		già-cliente	1
clienti		già-clienti	1
coautori		già-coautori	1
collega		già-collega	1
colonialista		già-colonialista	1
colonnelli		già-colonnelli	2
compagno		già-compagno	1
comprensivi		già-comprensivi	1
consigliere		già-consigliere	1
Consiglieri		già-Consiglieri	2
difficile		già-difficile	1
disordinato		già-disordinato	1
docente		già-docente	1
dolore		già-dolore	1
esistente		già-esistente	1
famiglia		già-famiglia	1
fatto		già-fatto	1
Festa		già-Festa	1
giudicato		già-giudicato	1
glorie		già-glorie	1
Volta		già-Goito-Volta	1
Istituto		già-Istituto	2
lettori		già-lettori	1
madre		già-madre	1
mamma		già-mamma	1
mamme		già-mamme	1
manifesto		già-manifesto	1
ministro		già-ministro	2
morti		già-morti	1
morto		già-morto	1
paladini		già-paladini	1
pigiama		già-pigiama	1
Pnf		già-Pnf	1
positivi		già-positivi	1
possessori		già-possessori	1
possiedono		già-possiedono	1
preacquistati		già-preacquistati	1
presidente		già-presidente	1
preti		già-preti	1
prodotti		già-prodotti	1
progetto		già-progetto	1
proprietari		già-proprietari	1
ricchi		già-ricchi	1
riempimento		già-riempimento	1
Rtsi		già-Rtsi	1
scusa		già-scusa	1
seminaristi		già-seminaristi	1
sindacalista		già-sindacalista	1
sinistro		già-sinistro	1
socialista		già-socialista	1
soggetto		già-soggetto	1
spazzatura		già-spazzatura	1
stabilite		già-stabilite	1
Tremonti		già-Tremonti	1
uomo		già-uomo	1
