	adulti		mai-adulti	1
	ali		mai-ali	2
	amica		mai-amica	1
	amore		mai-amore	2
	Archivi		mai-Archivi	1
	bevitori		mai-bevitori	1
	cambiante		mai-cambiante	1
	cliente		mai-cliente	1
	clienti		mai-clienti	3
	comunisti		mai-comunisti	1
	discendente		mai-discendente	1
	dolcezza		mai-dolcezza	1
	esistenti		mai-esistenti	1
	fumatore		mai-fumatore	1
	fumatori		mai-fumatori	6
	Harry		mai-Harry	1
	imbroglione		mai-imbroglione	1
	inverno		mai-inverno	1
	lavoro		mai-lavoro	2
	leader		mai-leader	1
	Luca		mai-Luca	1
	marxista		mai-marxista	1
	morte		mai-morte	1
	morti		mai-morti	1
	morto		mai-morto	1
	nata		mai-nata	2
	nati		mai-nati	8
	nato		mai-nato	10
	pensante		mai-pensante	1
	pooh		mai-pooh	1
	poveri		mai-poveri	1
	scrittori		mai-scrittori	1
	Stato		mai-Stato	1
