	amore		più-amore	2
	anni		più-anni	1
	anno		più-anno	3
	auto		più-auto	1
	barbara		più-barbara	1
	Bernabè		più-Bernabè	1
	Brindisi		più-Brindisi	1
	cadute		più-cadute	1
	Classe		più-Classe	1
	componenti		più-componenti	2
	Dedoni		più-Dedoni	1
	dimensione		più-dimensione	4
	europeismo		più-europeismo	6
	ForzaItalia		più-ForzaItalia	1
	Francescani		più-Francescani	1
	minuto		più-minuto	2
	spazio		più-spazio	2
	Toti		più-Toti	1
	Treviso		più-Treviso	1
	valore		più-valore	2
