	amici		ormai-amici	1
	cinquantenne		ormai-cinquantenne	1
	donna		ormai-donna	2
	ex		ormai-ex	4
	fantasmi		ormai-fantasmi	1
	morto		ormai-morto	1
	nonni		ormai-nonni	1
	sposi		ormai-sposi	1
