abate		ex-abate	30
abbazia		ex-abbazia	42
abitanti		ex-abitanti	45
Acna		ex-Acna	45
adepti		ex-adepti	45
aeroporto		ex-aeroporto	52
agente		ex-agente	654
agenti		ex-agenti	177
albergo		ex-albergo	78
Albergo		ex-Albergo	23
alcolista		ex-alcolista	65
alcolisti		ex-alcolisti	46
alcolizzato		ex-alcolizzato	35
Alfa		ex-Alfa	34
Alitalia		ex-Alitalia	26
alleata		ex-alleata	23
alleati		ex-alleati	311
alleato		ex-alleato	176
allenatore		ex-allenatore	217
allieva		ex-allieva	155
allieve		ex-allieve	97
allievi		ex-allievi	1602
Allievi		ex-Allievi	55
allievo		ex-allievo	517
alunna		ex-alunna	79
alunne		ex-alunne	34
alunni		ex-alunni	684
alunno		ex-alunno	166
amante		ex-amante	379
amanti		ex-amanti	197
ambasciatore		ex-ambasciatore	173
amica		ex-amica	94
amiche		ex-amiche	24
amici		ex-amici	244
amico		ex-amico	346
amministratore		ex-amministratore	129
amministratori		ex-amministratori	94
AN		ex-AN	104
An		ex-An	90
analista		ex-analista	46
anglicani		ex-anglicani	30
Ansaldo		ex-Ansaldo	104
appartenenti		ex-appartenenti	74
apprendista		ex-apprendista	28
apprendisti		ex-apprendisti	32
aquilotto		ex-aquilotto	28
arbitro		ex-arbitro	54
arcivescovo		ex-arcivescovo	32
area		ex-area	205
Area		ex-Area	24
aree		ex-aree	50
Arsenale		ex-Arsenale	28
asilo		ex-asilo	149
Asilo		ex-Asilo	46
ASL		ex-ASL	40
assessore		ex-assessore	376
Assessore		ex-Assessore	59
assessori		ex-assessori	52
assistente		ex-assistente	112
assistiti		ex-assistiti	24
astronauta		ex-astronauta	59
atleta		ex-atleta	166
atleti		ex-atleti	158
attaccante		ex-attaccante	47
attivista		ex-attivista	33
attore		ex-attore	95
attrice		ex-attrice	102
austriache		ex-austriache	23
austriaco		ex-austriaco	24
autista		ex-autista	31
avversario		ex-avversario	23
avvocato		ex-avvocato	89
azienda		ex-azienda	46
azionisti		ex-azionisti	35
azzurro		ex-azzurro	32
ballerina		ex-ballerina	75
ballerino		ex-ballerino	26
bambina		ex-bambina	39
bambini		ex-bambini	122
bambino		ex-bambino	57
Banca		ex-Banca	87
banca		ex-banca	24
bancario		ex-bancario	25
banchiere		ex-banchiere	84
band		ex-band	61
barboun		ex-barboun	24
base		ex-base	86
bassista		ex-bassista	151
batterista		ex-batterista	193
Beatle		ex-Beatle	178
beatle		ex-beatle	64
Beatles		ex-Beatles	58
Bertone		ex-Bertone	47
biblioteca		ex-biblioteca	72
Birmania		ex-Birmania	88
birreria		ex-birreria	30
blocco		ex-blocco	109
Bologna		ex-Bologna	33
boss		ex-boss	48
bourbon		ex-bourbon	190
Bourbon		ex-Bourbon	136
braccio		ex-braccio	38
Breda		ex-Breda	73
brigatista		ex-brigatista	72
brigatisti		ex-brigatisti	33
Bucks		ex-Bucks	26
buttafuori		ex-buttafuori	24
cacciatore		ex-cacciatore	51
calciatore		ex-calciatore	359
calciatori		ex-calciatori	151
camerati		ex-camerati	24
campione		ex-campione	446
Campione		ex-Campione	34
campionessa		ex-campionessa	52
campioni		ex-campioni	103
campo		ex-campo	139
Canapificio		ex-Canapificio	39
cancelliere		ex-cancelliere	74
candidata		ex-candidata	36
candidati		ex-candidati	28
candidato		ex-candidato	117
canonica		ex-canonica	37
cantante		ex-cantante	333
capi		ex-capi	75
capitale		ex-capitale	203
capitano		ex-capitano	275
capo		ex-capo	839
Capo		ex-Capo	61
capogruppo		ex-capogruppo	41
capolista		ex-capolista	35
cappella		ex-cappella	47
carabiniere		ex-carabiniere	51
carcerati		ex-carcerati	157
carcerato		ex-carcerato	99
carcere		ex-carcere	133
carceri		ex-carceri	46
Card		ex-Card	25
cartiera		ex-cartiera	46
casa		ex-casa	219
Casa		ex-Casa	85
caserma		ex-caserma	410
Caserma		ex-Caserma	103
caserme		ex-caserme	61
cattedra		ex-cattedra	49
cattedrale		ex-cattedrale	51
cattolici		ex-cattolici	50
cattolico		ex-cattolico	29
cava		ex-cava	249
cavaliere		ex-cavaliere	73
Cavaliere		ex-Cavaliere	66
cave		ex-cave	51
Cecoslovacchia		ex-Cecoslovacchia	53
cementificio		ex-cementificio	26
centrale		ex-centrale	90
centro		ex-centro	50
Centro		ex-Centro	24
centrocampista		ex-centrocampista	41
CEO		ex-CEO	60
cestista		ex-cestista	24
chiesa		ex-chiesa	635
Chiesa		ex-Chiesa	134
chiesetta		ex-chiesetta	34
chitarrista		ex-chitarrista	248
ciclista		ex-ciclista	38
cieco		ex-cieco	28
cimitero		ex-cimitero	37
cinema		ex-cinema	227
Cinema		ex-Cinema	55
circondario		ex-circondario	32
circoscrizione		ex-circoscrizione	28
Cirielli		ex-Cirielli	481
città		ex-città	58
cittadini		ex-cittadini	55
classe		ex-classe	38
cliente		ex-cliente	76
clienti		ex-clienti	147
clinica		ex-clinica	29
club		ex-club	31
CNR		ex-CNR	29
coach		ex-coach	136
cognato		ex-cognato	30
coinquilino		ex-coinquilino	27
collaboratore		ex-collaboratore	133
collaboratori		ex-collaboratori	100
collega		ex-collega	634
colleghe		ex-colleghe	46
colleghi		ex-colleghi	562
collegio		ex-collegio	50
Collegio		ex-Collegio	47
coloni		ex-coloni	38
colonia		ex-colonia	569
Colonia		ex-Colonia	24
coloniale		ex-coloniale	36
coloniali		ex-coloniali	168
colonie		ex-colonie	838
colonizzati		ex-colonizzati	34
colonizzatori		ex-colonizzatori	38
colonnello		ex-colonnello	102
Colorificio		ex-Colorificio	31
coltivi		ex-coltivi	33
comandante		ex-comandante	249
combattente		ex-combattente	135
combattenti		ex-combattenti	726
comico		ex-comico	108
commilitone		ex-commilitone	68
commilitoni		ex-commilitoni	55
commissario		ex-commissario	119
Commissario		ex-Commissario	29
compagna		ex-compagna	419
compagne		ex-compagne	68
compagni		ex-compagni	925
Compagnia		ex-Compagnia	157
compagnia		ex-compagnia	72
compagno		ex-compagno	909
complesso		ex-complesso	52
complice		ex-complice	24
componente		ex-componente	101
componenti		ex-componenti	124
comune		ex-comune	240
comuni		ex-comuni	138
comunista		ex-comunista	513
comuniste		ex-comuniste	28
comunisti		ex-comunisti	922
concorrente		ex-concorrente	112
concorrenti		ex-concorrenti	65
conduttore		ex-conduttore	27
coniuge		ex-coniuge	315
coniugi		ex-coniugi	303
consigliera		ex-consigliera	37
consigliere		ex-consigliere	279
Consigliere		ex-Consigliere	26
consiglieri		ex-consiglieri	97
console		ex-console	71
consoli		ex-consoli	37
consorte		ex-consorte	38
Consorzio		ex-Consorzio	29
consulente		ex-consulente	64
contadini		ex-contadini	63
conventi		ex-conventi	28
convento		ex-convento	1054
Convento		ex-Convento	194
convivente		ex-convivente	54
coordinatore		ex-coordinatore	38
coppia		ex-coppia	77
corridore		ex-corridore	42
corsisti		ex-corsisti	59
cortina		ex-cortina	24
Corvonero		ex-Corvonero	27
cotonificio		ex-cotonificio	32
criminale		ex-criminale	54
criminali		ex-criminali	36
cuoco		ex-cuoco	28
datore		ex-datore	110
datori		ex-datori	52
DC		ex-DC	127
Dc		ex-Dc	74
dc		ex-dc	58
DDR		ex-DDR	185
Ddr		ex-Ddr	23
degenti		ex-degenti	31
delfino		ex-delfino	24
demo		ex-demo	216
democristiana		ex-democristiana	24
democristiani		ex-democristiani	194
democristiano		ex-democristiano	86
deportati		ex-deportati	178
deportato		ex-deportato	76
deposito		ex-deposito	50
deputata		ex-deputata	25
deputati		ex-deputati	52
deputato		ex-deputato	202
detective		ex-detective	41
detenuta		ex-detenuta	32
detenute		ex-detenute	100
detenuti		ex-detenuti	998
detenuto		ex-detenuto	293
diessini		ex-diessini	27
difensore		ex-difensore	49
Dipartimento		ex-Dipartimento	35
dipendente		ex-dipendente	409
dipendenti		ex-dipendenti	738
diplomatico		ex-diplomatico	51
direttore		ex-direttore	948
Direttore		ex-Direttore	99
direttori		ex-direttori	34
direttrice		ex-direttrice	63
dirigente		ex-dirigente	297
dirigenti		ex-dirigenti	168
discarica		ex-discarica	107
discariche		ex-discariche	23
discepolo		ex-discepolo	23
discoteca		ex-discoteca	34
dittatore		ex-dittatore	165
dividendo		ex-dividendo	33
DM		ex-DM	26
docente		ex-docente	88
docenti		ex-docenti	48
dogana		ex-dogana	42
Ds		ex-Ds	66
DS		ex-DS	56
ds		ex-ds	25
ECA		ex-ECA	26
edificio		ex-edificio	50
editore		ex-editore	29
elettore		ex-elettore	25
elettori		ex-elettori	66
Enel		ex-Enel	38
Enpals		ex-Enpals	101
ENPALS		ex-ENPALS	48
Ente		ex-Ente	27
Equitalia		ex-Equitalia	28
Eridania		ex-Eridania	24
eroe		ex-eroe	33
esercito		ex-esercito	46
esponente		ex-esponente	40
esponenti		ex-esponenti	36
esposti		ex-esposti	156
Eutelia		ex-Eutelia	52
Expo		ex-Expo	43
fabbrica		ex-fabbrica	311
fabbriche		ex-fabbriche	41
fabrica		ex-fabrica	32
Facoltà		ex-Facoltà	130
facoltà		ex-facoltà	31
factory		ex-factory	85
falegnameria		ex-falegnameria	26
famiglia		ex-famiglia	30
fan		ex-fan	48
fascista		ex-fascista	97
fascisti		ex-fascisti	214
fermata		ex-fermata	42
ferrovia		ex-ferrovia	215
ferrovie		ex-ferrovie	31
festività		ex-festività	44
feudali		ex-feudali	26
feudatari		ex-feudatari	29
feudi		ex-feudi	30
feudo		ex-feudo	62
FI		ex-FI	24
fiamma		ex-fiamma	66
Fiat		ex-Fiat	95
fidanzata		ex-fidanzata	769
fidanzate		ex-fidanzate	65
fidanzati		ex-fidanzati	107
fidanzato		ex-fidanzato	677
fienile		ex-fienile	64
Fiera		ex-Fiera	53
fiera		ex-fiera	28
filanda		ex-filanda	44
Filanda		ex-Filanda	25
fissa		ex-fissa	41
fonderia		ex-fonderia	26
fornace		ex-fornace	46
Fornace		ex-Fornace	33
Forza		ex-Forza	24
franchigia		ex-franchigia	25
frate		ex-frate	45
fratelli		ex-fratelli	48
frontman		ex-frontman	96
FS		ex-FS	27
fumatore		ex-fumatore	156
fumatori		ex-fumatori	449
fumatrice		ex-fumatrice	31
fumatrici		ex-fumatrici	24
funzionari		ex-funzionari	101
funzionario		ex-funzionario	124
galeotti		ex-galeotti	61
galeotto		ex-galeotto	127
garibaldini		ex-garibaldini	23
garibaldino		ex-garibaldino	31
gay		ex-gay	204
generale		ex-generale	262
generali		ex-generali	54
genere		ex-genere	65
gerarchi		ex-gerarchi	27
Germania		ex-Germania	127
gesuita		ex-gesuita	73
gesuiti		ex-gesuiti	23
ghetto		ex-ghetto	39
gieffina		ex-gieffina	52
gieffini		ex-gieffini	31
gieffino		ex-gieffino	37
Gil		ex-Gil	99
GIL		ex-GIL	56
ginnasta		ex-ginnasta	23
giocatore		ex-giocatore	571
giocatori		ex-giocatori	273
giocatrice		ex-giocatrice	23
giornalista		ex-giornalista	126
giornalisti		ex-giornalisti	23
giovane		ex-giovane	45
giovani		ex-giovani	106
giudice		ex-giudice	103
governatore		ex-governatore	344
Governatore		ex-Governatore	41
governo		ex-governo	58
granata		ex-granata	39
grande		ex-grande	43
grillini		ex-grillini	27
gruppo		ex-gruppo	67
guardia		ex-guardia	58
guardie		ex-guardie	40
guerriglieri		ex-guerriglieri	112
guerrigliero		ex-guerrigliero	59
hacker		ex-hacker	38
Helloween		ex-Helloween	24
hotel		ex-hotel	42
Hotel		ex-Hotel	37
ILA		ex-ILA	23
Ilva		ex-Ilva	208
ILVA		ex-ILVA	39
imperatore		ex-imperatore	95
imperatrice		ex-imperatrice	25
impero		ex-impero	170
Impero		ex-Impero	82
impiegati		ex-impiegati	67
impiegato		ex-impiegato	97
imprenditore		ex-imprenditore	30
Indire		ex-Indire	44
industriale		ex-industriale	140
industriali		ex-industriali	142
INEA		ex-INEA	28
infermiera		ex-infermiera	41
ingegnere		ex-ingegnere	75
ingegneri		ex-ingegneri	23
INPDAP		ex-INPDAP	336
Inpdap		ex-Inpdap	143
inpdap		ex-inpdap	35
insegnante		ex-insegnante	233
insegnanti		ex-insegnanti	65
Inter		ex-Inter	38
interinali		ex-interinali	28
internati		ex-internati	141
internato		ex-internato	36
investigatore		ex-investigatore	25
IPAB		ex-IPAB	24
ippodromo		ex-ippodromo	28
iridato		ex-iridato	32
IRRE		ex-IRRE	46
iscritti		ex-iscritti	45
isola		ex-isola	28
ISPESL		ex-ISPESL	43
ispettore		ex-ispettore	61
istituti		ex-istituti	23
Istituto		ex-Istituto	120
istituto		ex-istituto	26
Italcementi		ex-Italcementi	47
Italsider		ex-Italsider	82
Iugoslavia		ex-Iugoslavia	248
Japan		ex-Japan	34
jugoslava		ex-jugoslava	112
jugoslave		ex-jugoslave	76
jugoslavi		ex-jugoslavi	115
Jugoslavia		ex-Jugoslavia	3840
jugoslavia		ex-jugoslavia	116
jugoslavo		ex-jugoslavo	55
juventino		ex-juventino	28
KGB		ex-KGB	39
Kings		ex-Kings	25
ladro		ex-ladro	25
Lakers		ex-Lakers	34
latteria		ex-latteria	35
lavoratore		ex-lavoratore	45
lavoratori		ex-lavoratori	284
lavoratrici		ex-lavoratrici	24
leader		ex-leader	557
Lega		ex-Lega	24
lege		ex-lege	247
legge		ex-legge	101
Legge		ex-Legge	38
leghista		ex-leghista	35
lettori		ex-lettori	28
Leuci		ex-Leuci	24
liceo		ex-liceo	34
linea		ex-linea	57
lottatore		ex-lottatore	25
lsu		ex-lsu	150
LSU		ex-LSU	74
Lsu		ex-Lsu	62
Lucas		ex-Lucas	37
Lucchini		ex-Lucchini	40
Macelli		ex-Macelli	51
macelli		ex-macelli	30
macello		ex-macello	138
Macello		ex-Macello	77
machina		ex-machina	383
madrepatria		ex-madrepatria	26
maestra		ex-maestra	32
maestro		ex-maestro	104
magazzini		ex-magazzini	63
magazzino		ex-magazzino	63
maggioranza		ex-maggioranza	72
maggiore		ex-maggiore	30
Magic		ex-Magic	48
magistrati		ex-magistrati	59
magistrato		ex-magistrato	247
malati		ex-malati	61
manager		ex-manager	231
Mangiamorte		ex-Mangiamorte	30
manicomi		ex-manicomi	25
manicomio		ex-manicomio	106
Manifattura		ex-Manifattura	119
manifattura		ex-manifattura	49
Margherita		ex-Margherita	66
margherita		ex-margherita	23
marinaio		ex-marinaio	25
marine		ex-marine	190
Marine		ex-Marine	30
mariti		ex-mariti	87
marito		ex-marito	1485
mattatoio		ex-mattatoio	144
Mattatoio		ex-Mattatoio	122
McKinsey		ex-McKinsey	32
medico		ex-medico	87
membri		ex-membri	815
membro		ex-membro	667
mensa		ex-mensa	28
mentore		ex-mentore	42
Mercati		ex-Mercati	23
mercato		ex-mercato	113
Mercato		ex-Mercato	45
mercenario		ex-mercenario	33
Michelin		ex-Michelin	118
migliore		ex-migliore	66
Milan		ex-Milan	33
militante		ex-militante	100
militanti		ex-militanti	111
militare		ex-militare	560
militari		ex-militari	421
minatore		ex-minatore	28
minatori		ex-minatori	52
miniera		ex-miniera	54
miniere		ex-miniere	40
minimi		ex-minimi	36
ministra		ex-ministra	80
ministri		ex-ministri	225
ministro		ex-ministro	1821
Ministro		ex-Ministro	356
miss		ex-miss	29
missini		ex-missini	43
modella		ex-modella	170
modello		ex-modello	27
mogli		ex-mogli	106
moglie		ex-moglie	2451
monaco		ex-monaco	38
monastero		ex-monastero	284
Monastero		ex-Monastero	49
Monopoli		ex-Monopoli	27
monopolista		ex-monopolista	156
monopolisti		ex-monopolisti	44
Montedison		ex-Montedison	27
mulino		ex-mulino	47
municipalità		ex-municipalità	135
municipalizzata		ex-municipalizzata	35
municipalizzate		ex-municipalizzate	119
municipio		ex-municipio	62
Museo		ex-Museo	23
musicista		ex-musicista	28
musulmani		ex-musulmani	60
naufraga		ex-naufraga	32
naufrago		ex-naufrago	26
nazionale		ex-nazionale	54
nazista		ex-nazista	70
nazisti		ex-nazisti	104
negazionisti		ex-negazionisti	45
nemici		ex-nemici	171
nemico		ex-nemico	68
nobili		ex-nobili	28
noleggio		ex-noleggio	44
Nuggets		ex-Nuggets	31
numero		ex-numero	85
occupanti		ex-occupanti	41
occupati		ex-occupati	28
officina		ex-officina	46
officine		ex-officine	43
